USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  23504 14416 ?        Ss   11:47   0:03 /sbin/init splash
root          33  0.0  0.0      0     0 ?        S    11:47   0:00 [cpuhp/6]
root          34  0.0  0.0      0     0 ?        S    11:47   0:00 [idle_inject/6]
root          35  0.0  0.0      0     0 ?        S    11:47   0:01 [migration/6]
root          36  0.0  0.0      0     0 ?        S    11:47   0:00 [ksoftirqd/6]
root          38  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/6:0H-events_highpri]
root          39  0.0  0.0      0     0 ?        S    11:47   0:00 [cpuhp/8]
root          40  0.0  0.0      0     0 ?        S    11:47   0:00 [idle_inject/8]
root          41  0.0  0.0      0     0 ?        S    11:47   0:01 [migration/8]
root          42  0.0  0.0      0     0 ?        S    11:47   0:00 [ksoftirqd/8]
root          44  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/8:0H-events_highpri]
root          45  0.0  0.0      0     0 ?        S    11:47   0:00 [cpuhp/10]
root          46  0.0  0.0      0     0 ?        S    11:47   0:00 [idle_inject/10]
root          47  0.0  0.0      0     0 ?        S    11:47   0:01 [migration/10]
root          48  0.0  0.0      0     0 ?        S    11:47   0:00 [ksoftirqd/10]
root          50  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/10:0H-events_highpri]
root          51  0.0  0.0      0     0 ?        S    11:47   0:00 [rcu_exp_par_gp_kthread_worker/2]
root          52  0.0  0.0      0     0 ?        S    11:47   0:00 [cpuhp/12]
root          53  0.0  0.0      0     0 ?        S    11:47   0:00 [idle_inject/12]
root          54  0.0  0.0      0     0 ?        S    11:47   0:16 [migration/12]
root          55  0.0  0.0      0     0 ?        S    11:47   0:00 [ksoftirqd/12]
root          57  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/12:0H-events_highpri]
root          58  0.0  0.0      0     0 ?        S    11:47   0:00 [cpuhp/13]
root          59  0.0  0.0      0     0 ?        S    11:47   0:00 [idle_inject/13]
root          60  0.0  0.0      0     0 ?        S    11:47   0:11 [migration/13]
root          61  0.0  0.0      0     0 ?        S    11:47   0:00 [ksoftirqd/13]
root          63  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/13:0H-events_highpri]
root          64  0.0  0.0      0     0 ?        S    11:47   0:00 [cpuhp/14]
root          65  0.0  0.0      0     0 ?        S    11:47   0:00 [idle_inject/14]
root          66  0.0  0.0      0     0 ?        S    11:47   0:08 [migration/14]
root          67  0.0  0.0      0     0 ?        S    11:47   0:00 [ksoftirqd/14]
root          69  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/14:0H-events_highpri]
root          70  0.0  0.0      0     0 ?        S    11:47   0:00 [cpuhp/15]
root          71  0.0  0.0      0     0 ?        S    11:47   0:00 [idle_inject/15]
root          72  0.0  0.0      0     0 ?        S    11:47   0:06 [migration/15]
root          73  0.0  0.0      0     0 ?        S    11:47   0:00 [ksoftirqd/15]
root          75  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/15:0H-events_highpri]
root          76  0.0  0.0      0     0 ?        S    11:47   0:00 [cpuhp/16]
root          77  0.0  0.0      0     0 ?        S    11:47   0:00 [idle_inject/16]
root          78  0.0  0.0      0     0 ?        S    11:47   0:05 [migration/16]
root          79  0.0  0.0      0     0 ?        S    11:47   0:00 [ksoftirqd/16]
root          81  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/16:0H-events_highpri]
root          82  0.0  0.0      0     0 ?        S    11:47   0:00 [cpuhp/17]
root          83  0.0  0.0      0     0 ?        S    11:47   0:00 [idle_inject/17]
root          84  0.0  0.0      0     0 ?        S    11:47   0:04 [migration/17]
root          85  0.0  0.0      0     0 ?        S    11:47   0:00 [ksoftirqd/17]
root          87  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/17:0H-events_highpri]
root          88  0.0  0.0      0     0 ?        S    11:47   0:00 [cpuhp/18]
root          89  0.0  0.0      0     0 ?        S    11:47   0:00 [idle_inject/18]
root          90  0.0  0.0      0     0 ?        S    11:47   0:04 [migration/18]
root          91  0.0  0.0      0     0 ?        S    11:47   0:00 [ksoftirqd/18]
root          93  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/18:0H-events_highpri]
root          94  0.0  0.0      0     0 ?        S    11:47   0:00 [cpuhp/19]
root          95  0.0  0.0      0     0 ?        S    11:47   0:00 [idle_inject/19]
root          96  0.0  0.0      0     0 ?        S    11:47   0:03 [migration/19]
root          97  0.0  0.0      0     0 ?        S    11:47   0:00 [ksoftirqd/19]
root          99  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/19:0H-events_highpri]
root         100  0.0  0.0      0     0 ?        S    11:47   0:00 [cpuhp/1]
root         101  0.0  0.0      0     0 ?        S    11:47   0:00 [idle_inject/1]
root         102  0.0  0.0      0     0 ?        S    11:47   0:00 [migration/1]
root         103  0.0  0.0      0     0 ?        S    11:47   0:02 [ksoftirqd/1]
root         105  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/1:0H-events_highpri]
root         106  0.0  0.0      0     0 ?        S    11:47   0:00 [cpuhp/3]
root         107  0.0  0.0      0     0 ?        S    11:47   0:00 [idle_inject/3]
root         108  0.0  0.0      0     0 ?        S    11:47   0:00 [migration/3]
root         109  0.0  0.0      0     0 ?        S    11:47   0:00 [ksoftirqd/3]
root         111  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/3:0H-events_highpri]
root         112  0.0  0.0      0     0 ?        S    11:47   0:00 [cpuhp/5]
root         113  0.0  0.0      0     0 ?        S    11:47   0:00 [idle_inject/5]
root         114  0.0  0.0      0     0 ?        S    11:47   0:00 [migration/5]
root         115  0.0  0.0      0     0 ?        S    11:47   0:00 [ksoftirqd/5]
root         117  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/5:0H-events_highpri]
root         118  0.0  0.0      0     0 ?        S    11:47   0:00 [cpuhp/7]
root         119  0.0  0.0      0     0 ?        S    11:47   0:00 [idle_inject/7]
root         120  0.0  0.0      0     0 ?        S    11:47   0:00 [migration/7]
root         121  0.0  0.0      0     0 ?        S    11:47   0:00 [ksoftirqd/7]
root         123  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/7:0H-events_highpri]
root         124  0.0  0.0      0     0 ?        S    11:47   0:00 [cpuhp/9]
root         125  0.0  0.0      0     0 ?        S    11:47   0:00 [idle_inject/9]
root         126  0.0  0.0      0     0 ?        S    11:47   0:00 [migration/9]
root         127  0.0  0.0      0     0 ?        S    11:47   0:00 [ksoftirqd/9]
root         129  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/9:0H-events_highpri]
root         130  0.0  0.0      0     0 ?        S    11:47   0:00 [cpuhp/11]
root         131  0.0  0.0      0     0 ?        S    11:47   0:00 [idle_inject/11]
root         132  0.0  0.0      0     0 ?        S    11:47   0:00 [migration/11]
root         133  0.0  0.0      0     0 ?        S    11:47   0:00 [ksoftirqd/11]
root         135  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/11:0H-events_highpri]
root         136  0.0  0.0      0     0 ?        S    11:47   0:00 [kdevtmpfs]
root         137  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-inet_frag_wq]
root         138  0.0  0.0      0     0 ?        I    11:47   0:00 [rcu_tasks_kthread]
root         139  0.0  0.0      0     0 ?        I    11:47   0:00 [rcu_tasks_rude_kthread]
root         140  0.0  0.0      0     0 ?        I    11:47   0:00 [rcu_tasks_trace_kthread]
root         141  0.0  0.0      0     0 ?        S    11:47   0:00 [kauditd]
root         142  0.0  0.0      0     0 ?        S    11:47   0:00 [khungtaskd]
root         144  0.0  0.0      0     0 ?        S    11:47   0:00 [oom_reaper]
root         146  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-writeback]
root         147  0.0  0.0      0     0 ?        S    11:47   0:01 [kcompactd0]
root         148  0.0  0.0      0     0 ?        SN   11:47   0:00 [ksmd]
root         149  0.0  0.0      0     0 ?        SN   11:47   0:00 [khugepaged]
root         150  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-kblockd]
root         151  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-blkcg_punt_bio]
root         152  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-kintegrityd]
root         154  0.0  0.0      0     0 ?        S    11:47   0:00 [irq/9-acpi]
root         156  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-tpm_dev_wq]
root         157  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-ata_sff]
root         158  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-md]
root         159  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-md_bitmap]
root         160  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-edac-poller]
root         161  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-devfreq_wq]
root         163  0.0  0.0      0     0 ?        S    11:47   0:00 [watchdogd]
root         165  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-quota_events_unbound]
root         166  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/18:1H-kblockd]
root         167  0.0  0.0      0     0 ?        S    11:47   0:08 [kswapd0]
root         168  0.0  0.0      0     0 ?        S    11:47   0:00 [ecryptfs-kthread]
root         169  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-kthrotld]
root         170  0.0  0.0      0     0 ?        S    11:47   0:00 [irq/120-aerdrv]
root         171  0.0  0.0      0     0 ?        S    11:47   0:00 [irq/121-aerdrv]
root         172  0.0  0.0      0     0 ?        S    11:47   0:00 [irq/122-pciehp]
root         173  0.0  0.0      0     0 ?        S    11:47   0:00 [irq/123-aerdrv]
root         174  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-acpi_thermal_pm]
root         190  0.0  0.0      0     0 ?        S    11:47   0:00 [hwrng]
root         191  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-hfi-updates]
root         192  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-mld]
root         193  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/17:1H-kblockd]
root         194  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-ipv6_addrconf]
root         195  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-kstrp]
root         197  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/u81:0]
root         209  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-charger_manager]
root         210  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/0:1H-kblockd]
root         236  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/2:1H-kblockd]
root         268  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/16:1H-kblockd]
root         269  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/8:1H-kblockd]
root         270  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/12:1H-kblockd]
root         271  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/7:1H-kblockd]
root         272  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/11:1H-kblockd]
root         276  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/6:1H-kblockd]
root         277  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/15:1H-kblockd]
root         278  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/1:1H-kblockd]
root         280  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/19:1H-kblockd]
root         282  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/3:1H-kblockd]
root         305  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/4:1H-kblockd]
root         306  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/13:1H-kblockd]
root         307  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/14:1H-kblockd]
root         308  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/9:1H-kblockd]
root         310  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/10:1H-kblockd]
root         340  0.0  0.0      0     0 ?        I    11:47   0:00 [kworker/14:2-events]
root         342  0.0  0.0      0     0 ?        S    11:47   0:00 [scsi_eh_0]
root         343  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-scsi_tmf_0]
root         344  0.0  0.0      0     0 ?        S    11:47   0:00 [scsi_eh_1]
root         345  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-scsi_tmf_1]
root         346  0.0  0.0      0     0 ?        S    11:47   0:00 [scsi_eh_2]
root         347  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-scsi_tmf_2]
root         348  0.0  0.0      0     0 ?        S    11:47   0:00 [scsi_eh_3]
root         349  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-scsi_tmf_3]
root         350  0.0  0.0      0     0 ?        S    11:47   0:00 [scsi_eh_4]
root         351  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-scsi_tmf_4]
root         352  0.0  0.0      0     0 ?        S    11:47   0:00 [scsi_eh_5]
root         353  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-scsi_tmf_5]
root         354  0.0  0.0      0     0 ?        S    11:47   0:00 [scsi_eh_6]
root         355  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-scsi_tmf_6]
root         356  0.0  0.0      0     0 ?        S    11:47   0:00 [scsi_eh_7]
root         357  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-scsi_tmf_7]
root         361  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-nvme-wq]
root         362  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-nvme-reset-wq]
root         363  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-nvme-delete-wq]
root         364  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-nvme-auth-wq]
root         409  0.0  0.0      0     0 ?        S    11:47   0:04 [jbd2/nvme0n1p2-8]
root         410  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-ext4-rsv-conversion]
root         415  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/5:1H-kblockd]
root         460  0.0  0.0  67272 18400 ?        S<s  11:47   0:01 /usr/lib/systemd/systemd-journald
root         535  0.0  0.0  30860  8612 ?        Ss   11:47   0:00 /usr/lib/systemd/systemd-udevd
root         560  0.0  0.0      0     0 ?        S    11:47   0:00 [psimon]
root         646  0.0  0.0      0     0 ?        S    11:47   0:00 [irq/148-mei_me]
root         735  0.0  0.0      0     0 ?        S    11:47   0:00 [nv_queue]
root         736  0.0  0.0      0     0 ?        S    11:47   0:00 [nv_queue]
root         737  0.0  0.0      0     0 ?        S    11:47   0:00 [nv_open_q]
root         744  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-ttm]
root         745  0.1  0.0      0     0 ?        S    11:47   1:01 [nvidia-modeset/kthread_q]
root         746  0.0  0.0      0     0 ?        S    11:47   0:00 [nvidia-modeset/deferred_close_kthread_q]
root         747  0.0  0.0      0     0 ?        S    11:47   0:00 [card1-crtc0]
root         748  0.0  0.0      0     0 ?        S    11:47   0:00 [card1-crtc1]
root         749  0.0  0.0      0     0 ?        S    11:47   0:00 [card1-crtc2]
root         750  0.0  0.0      0     0 ?        S    11:47   0:00 [card1-crtc3]
root         758  0.0  0.0      0     0 ?        S    11:47   0:00 [irq/150-nvidia]
root         759  0.0  0.0      0     0 ?        S    11:47   0:00 [nvidia]
root         760  0.0  0.0      0     0 ?        S    11:47   0:00 [nv_queue]
systemd+     975  0.0  0.0  17572  7504 ?        Ss   11:47   0:11 /usr/lib/systemd/systemd-oomd
systemd+     991  0.0  0.0  22084 13168 ?        Ss   11:47   0:04 /usr/lib/systemd/systemd-resolved
systemd+     992  0.0  0.0  91060  7756 ?        Ssl  11:47   0:00 /usr/lib/systemd/systemd-timesyncd
avahi       1140  0.0  0.0   8812  4600 ?        Ss   11:47   0:00 avahi-daemon: running [marble.local]
message+    1141  0.0  0.0  12340  7608 ?        Ss   11:47   0:02 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gnome-r+    1144  0.0  0.0 439220 15784 ?        Ssl  11:47   0:00 /usr/libexec/gnome-remote-desktop-daemon --system
polkitd     1150  0.0  0.0 385536 12128 ?        Ssl  11:47   0:01 /usr/lib/polkit-1/polkitd --no-debug
root        1151  0.0  0.0 313516  7684 ?        Ssl  11:47   0:00 /usr/libexec/power-profiles-daemon
root        1159  0.0  0.0 3179736 22448 ?       Ssl  11:47   0:02 /usr/lib/snapd/snapd
root        1166  0.0  0.0 313564  8016 ?        Ssl  11:47   0:00 /usr/libexec/accounts-daemon
root        1168  0.0  0.0   9432  2860 ?        Ss   11:47   0:00 /usr/sbin/cron -f -P
root        1171  0.0  0.0 309924  6772 ?        Ssl  11:47   0:00 /usr/libexec/switcheroo-control
root        1173  0.0  0.0  18172  9120 ?        Ss   11:47   0:00 /usr/lib/systemd/systemd-logind
root        1174  0.0  0.0 424884 11192 ?        Ssl  11:47   0:02 /usr/sbin/thermald --systemd --dbus-enable --adaptive
root        1175  0.0  0.0 469632 13804 ?        Ssl  11:47   0:00 /usr/libexec/udisks2/udisksd
avahi       1187  0.0  0.0   8488  1408 ?        S    11:47   0:00 avahi-daemon: chroot helper
syslog      1195  0.0  0.0 222572  6708 ?        Ssl  11:47   0:00 /usr/sbin/rsyslogd -n -iNONE
root        1320  0.0  0.0 337580 20260 ?        Ssl  11:47   0:01 /usr/sbin/NetworkManager --no-daemon
root        1360  0.0  0.0  17392  5396 ?        Ss   11:47   0:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
root        1390  0.0  0.0 318368 11696 ?        Ssl  11:47   0:00 /usr/sbin/ModemManager
root        1441  0.0  0.0      0     0 ?        S    11:47   0:00 [UVM global queue]
root        1443  0.0  0.0      0     0 ?        S    11:47   0:00 [UVM deferred release queue]
root        1444  0.0  0.0      0     0 ?        S    11:47   0:00 [UVM Tools Event Queue]
nvidia-+    1487  0.0  0.0   3336  2132 ?        Ss   11:47   0:00 /usr/bin/nvidia-persistenced --user nvidia-persistenced --no-persistence-mode --verbose
root        1687  0.0  0.0      0     0 ?        S    11:47   0:00 [psimon]
root        1694  0.0  0.0  38396 12024 ?        Ss   11:47   0:00 /usr/sbin/cupsd -l
root        1697  0.0  0.0 118048 18752 ?        Ssl  11:47   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1712  0.1  0.1 3135184 34968 ?       Ssl  11:47   0:59 /usr/bin/containerd
root        1714  0.0  0.0 314832  9052 ?        Ssl  11:47   0:00 /usr/sbin/gdm3
rtkit       1786  0.0  0.0  22948  3388 ?        SNsl 11:47   0:00 /usr/libexec/rtkit-daemon
colord      1899  0.0  0.0 320248 13704 ?        Ssl  11:47   0:00 /usr/libexec/colord
cups-br+    1905  0.0  0.0 268492 18416 ?        Ssl  11:47   0:00 /usr/sbin/cups-browsed
root        1906  0.4  0.2 5681584 66244 ?       Ssl  11:47   2:22 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
kernoops    1909  0.0  0.0  12752  2196 ?        Ss   11:47   0:00 /usr/sbin/kerneloops --test
kernoops    1912  0.0  0.0  12752  2320 ?        Ss   11:47   0:00 /usr/sbin/kerneloops
root        1920  0.1  0.0 3742032 18908 ?       Sl   11:47   0:33 /opt/teamviewer/tv_bin/teamviewerd -d
root        2125  0.0  0.0 317692  9024 ?        Ssl  11:47   0:00 /usr/libexec/upowerd
root        2753  0.0  0.0 1233592 9972 ?        Sl   11:47   0:02 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 61635997f85916e54b9c1f924d094417045bd99d3b46a5146da1b0b7b7cc5e26 -address /run/containerd/containerd.sock
root        3025  0.0  0.0   1064   704 ?        Ss   11:47   0:00 /sbin/docker-init -- buildkitd --allow-insecure-entitlement=network.host
root        3685  0.0  0.0 1290136 17540 ?       Sl   11:47   0:02 buildkitd --allow-insecure-entitlement=network.host
root        4114  0.0  0.0 390056 11096 ?        Sl   11:48   0:00 gdm-session-worker [pam/gdm-password]
bijung      4192  0.0  0.0  21528 12848 ?        Ss   11:48   0:01 /usr/lib/systemd/systemd --user
bijung      4198  0.0  0.0  21472  3648 ?        S    11:48   0:00 (sd-pam)
bijung      4211  0.0  0.0 116944 15004 ?        S<sl 11:48   0:00 /usr/bin/pipewire
bijung      4212  0.0  0.0  97744  4976 ?        Ssl  11:48   0:00 /usr/bin/pipewire -c filter-chain.conf
bijung      4217  0.0  0.0 406960 16136 ?        S<sl 11:48   0:00 /usr/bin/wireplumber
bijung      4219  0.0  0.0 122360 20504 ?        S<sl 11:48   0:00 /usr/bin/pipewire-pulse
bijung      4221  0.0  0.0 464120 10556 ?        SLsl 11:48   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
bijung      4229  0.0  0.0  11452  6732 ?        Ss   11:48   0:27 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
bijung      4265  0.0  0.0 610300  7500 ?        Ssl  11:48   0:00 /usr/libexec/xdg-document-portal
bijung      4269  0.0  0.0 309316  6116 ?        Ssl  11:48   0:00 /usr/libexec/xdg-permission-store
root        4276  0.0  0.0   2712  2032 ?        Ss   11:48   0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
bijung      4331  0.0  0.0 235720  5888 tty2     Ssl+ 11:48   0:00 /usr/libexec/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
bijung      4335  1.4  0.2 26153064 76496 tty2   Sl+  11:48   7:12 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -nolisten tcp -background none -noreset -keeptty -novtswitch -verbose 3
root        4354  0.0  0.0      0     0 ?        S    11:48   0:00 [nvidia-drm/timeline-1b]
bijung      4364  0.0  0.0 298244 12276 tty2     Sl+  11:48   0:00 /usr/libexec/gnome-session-binary --session=ubuntu
bijung      4433  0.0  0.0 248112 29572 ?        Sl   11:48   0:26 /usr/bin/fcitx5 -d
bijung      4439  0.0  0.0 314268  7416 ?        Ssl  11:48   0:00 /usr/libexec/gvfsd
bijung      4447  0.0  0.0 459716  6772 ?        Sl   11:48   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
bijung      4455  0.0  0.0 383024  8072 ?        Ssl  11:48   0:00 /usr/libexec/at-spi-bus-launcher
bijung      4462  0.0  0.0   9488  5160 ?        S    11:48   0:01 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_1
bijung      4466  0.0  0.0  39140  1056 ?        Ss   11:48   0:00 /snap/snapd-desktop-integration/343/usr/bin/snapd-desktop-integration
bijung      4563  0.0  0.0 162660  6804 ?        Ssl  11:48   0:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
bijung      4564  0.0  0.1 695240 48304 ?        Sl   11:48   0:03 /snap/snapd-desktop-integration/343/usr/bin/snapd-desktop-integration
bijung      4566  0.0  0.0  91556  5632 ?        Ssl  11:48   0:00 /usr/libexec/gnome-session-ctl --monitor
bijung      4582  0.0  0.0 520708 16088 ?        Ssl  11:48   0:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
bijung      4620  3.7  1.4 5188100 479772 ?      Ssl  11:48  19:18 /usr/bin/gnome-shell
root        4642  0.0  0.0      0     0 ?        S    11:48   0:00 [nvidia-drm/timeline-1f]
bijung      4657  0.0  0.1 1146212 61268 ?       Sl   11:48   0:08 /usr/libexec/mutter-x11-frames
bijung      4660  0.0  0.0 236052  7980 ?        Sl   11:48   0:04 /usr/libexec/at-spi2-registryd --use-gnome-session
bijung      4687  0.0  0.0 654816 15376 ?        Sl   11:48   0:00 /usr/libexec/gnome-shell-calendar-server
bijung      4695  0.0  0.0 230360  6244 ?        Ssl  11:48   0:00 /usr/libexec/dconf-service
bijung      4701  0.0  0.1 1275364 36052 ?       Ssl  11:48   0:00 /usr/libexec/evolution-source-registry
bijung      4706  0.0  0.0 2924840 17796 ?       Sl   11:48   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
bijung      4724  0.0  0.0 383604  6656 ?        Ssl  11:48   0:00 /usr/libexec/gsd-a11y-settings
bijung      4727  0.0  0.0 453220 20384 ?        Ssl  11:48   0:00 /usr/libexec/gsd-color
bijung      4730  0.0  0.0 431756 11628 ?        Ssl  11:48   0:00 /usr/libexec/gsd-datetime
bijung      4731  0.0  0.0 459068  8068 ?        Ssl  11:48   0:01 /usr/libexec/gsd-housekeeping
bijung      4732  0.0  0.0 452064 22216 ?        Ssl  11:48   0:00 /usr/libexec/gsd-keyboard
bijung      4733  0.0  0.0 744964 24836 ?        Ssl  11:48   0:00 /usr/libexec/gsd-media-keys
bijung      4739  0.0  0.0 526876 21800 ?        Ssl  11:48   0:01 /usr/libexec/gsd-power
bijung      4740  0.0  0.0 323764 11088 ?        Ssl  11:48   0:00 /usr/libexec/gsd-print-notifications
